academic_score,exam_score,extracurricular_score,admission,college
85,88,7,1,College of Engineering Trivandrum
70,60,6,0,College of Engineering Thrissur
90,95,9,1,College of Engineering Trivandrum
60,55,5,0,Vimal Jyothi Engineering College
75,78,6,1,College of Engineering Thrissur
88,85,8,1,College of Engineering Trivandrum
92,98,9,1,College of Engineering Trivandrum
93,98,9,1,College of Engineering Trivandrum
92,99,9,1,College of Engineering Trivandrum
92,100,9,1,College of Engineering Trivandrum
100,100,10,1,College of Engineering Trivandrum
0,0,0,0,No Admission
5,5,5,0,No Admission
10,10,10,0,No Admission
20,20,20,0,No Admission
15,0,15,0,No Admission
